id,question,slug,category,tags,clobTokenIds,outcomes,outcomePrices,conditionId,active,closed,volumeNum,volume24hr,liquidity,liquidityNum,endDate,orderPriceMinTickSize,orderMinSize,resolutionSource,acceptingOrders,openInterest,createdAt,updatedAt,event_id,event_title,event_slug,event_description
601697,Fed decreases interest rates by 50+ bps after January 2026 meeting?,fed-decreases-interest-rates-by-50-bps-after-january-2026-meeting,,,"[""11862165566757345985240476164489718219056735011698825377388402888080786399275"", ""71478852790279095447182996049071040792010759617668969799049179229104800573786""]","[""Yes"", ""No""]","[""0.0015"", ""0.9985""]",0x17815081230e3b9c78b098162c33b1ffa68c4ec29c123d3d14989599e0c2e113,True,False,182968431.54537,3369261.4958880064,7506087.3537,7506087.3537,2026-01-28T00:00:00Z,0.001,5,,True,,2025-09-17T16:22:35.837625Z,2026-01-23T13:18:53.579119Z,,,,
601700,Fed increases interest rates by 25+ bps after January 2026 meeting?,fed-increases-interest-rates-by-25-bps-after-january-2026-meeting,,,"[""16419649354067298412736919830777830730026677464626899811394461690794060330642"", ""42139849929574046088630785796780813725435914859433767469767950066058132350666""]","[""Yes"", ""No""]","[""0.0005"", ""0.9995""]",0x7c6c69d91b21cbbea08a13d0ad51c0e96a956045aaadc77bce507c6b0475b66e,True,False,167521031.497747,992062.52,8078280.66542,8078280.66542,2026-01-28T00:00:00Z,0.001,5,,True,,2025-09-17T16:22:39.874792Z,2026-01-23T13:18:54.428005Z,,,,
601699,No change in Fed interest rates after January 2026 meeting?,no-change-in-fed-interest-rates-after-january-2026-meeting,,,"[""112838095111461683880944516726938163688341306245473734071798778736646352193304"", ""7321318078891059430231591636389479745928915782241484131001985601124919020061""]","[""Yes"", ""No""]","[""0.9845"", ""0.0155""]",0xe93c89c41d1bb08d3bb40066d8565df301a696563b2542256e6e8bbbb1ec490d,True,False,54348775.832599,2371189.5498240027,1401291.66773,1401291.66773,2026-01-28T00:00:00Z,0.001,5,,True,,2025-09-17T16:22:38.693526Z,2026-01-23T13:18:49.664299Z,,,,
601698,Fed decreases interest rates by 25 bps after January 2026 meeting?,fed-decreases-interest-rates-by-25-bps-after-january-2026-meeting,,,"[""92703761682322480664976766247614127878023988651992837287050266308961660624165"", ""48193521645113703700467246669338225849301704920590102230072263970163239985027""]","[""Yes"", ""No""]","[""0.0135"", ""0.9865""]",0x35cc41270f5cdfd59b45e68ab85dc51b0b900d286a6c74ea006b8572d9ff5934,True,False,53605028.506028,2941914.449229997,1695875.95905,1695875.95905,2026-01-28T00:00:00Z,0.001,5,,True,,2025-09-17T16:22:37.437037Z,2026-01-23T13:18:57.061102Z,,,,
1106713,Khamenei out as Supreme Leader of Iran by January 31?,khamenei-out-as-supreme-leader-of-iran-by-january-31,,,"[""101434403359553929764780234916919166959889590658679054429843672204390513588056"", ""62595435619678438799673612599999067112702849851098967060818869994133628780778""]","[""Yes"", ""No""]","[""0.055"", ""0.945""]",0xa8b744720006da3c08b4dc8a61a5ce930542f550fcf8d27380ae898de636799d,True,False,39776792.934506,641693.6146180006,713695.9354,713695.9354,2026-01-31T00:00:00Z,0.01,5,,True,,2026-01-04T18:56:17.032325Z,2026-01-23T13:19:16.247228Z,,,,
566203,Will Leeds win the 2025–26 English Premier League?,will-leeds-win-the-202526-english-premier-league,,,"[""76060545169704703774306339799160632690199220587187333652682231353030966296372"", ""79742853692640441630014447218057231927327132180925275737649345065452061252209""]","[""Yes"", ""No""]","[""0.0015"", ""0.9985""]",0xa4ff70673e8d6f76261400c0ffd9d7970bf6d8aec5f8f44b20434e59e3e3141e,True,False,33660090.395948,103482.341,914922.35998,914922.35998,2026-05-27T00:00:00Z,0.001,5,,True,,2025-07-21T21:13:08.347001Z,2026-01-23T13:19:11.762693Z,,,,
559687,Will Oprah Winfrey win the 2028 Democratic presidential nomination?,will-oprah-winfrey-win-the-2028-democratic-presidential-nomination,,,"[""2213957649161627793381994368131485505647723208738124952452819345058597751695"", ""44046525152074436753629616217525652949736205933417533647338274649282385796755""]","[""Yes"", ""No""]","[""0.0065"", ""0.9935""]",0xe06a7e94cf2fa8dc2085b7610fe16e9be1cde6654f34d365c13da1149b276c61,True,False,30144952.943738,486303.57542799995,1330619.49043,1330619.49043,2028-11-07T00:00:00Z,0.001,5,,True,,2025-07-03T20:37:23.883364Z,2026-01-23T13:18:40.451887Z,,,,
559684,Will Chelsea Clinton win the 2028 Democratic presidential nomination?,will-chelsea-clinton-win-the-2028-democratic-presidential-nomination,,,"[""46211769122513729244602558513001215391004042100934296321661285791281233261657"", ""76057920052421891902791411567177996435483774677774664174053982044923692373687""]","[""Yes"", ""No""]","[""0.0065"", ""0.9935""]",0xf2e51acfbb6d0414dc2ace81b7dc2af7c165e443dcb91f6caa7aab6d6ab4f06d,True,False,28581743.30748,586757.9913319999,763612.10169,763612.10169,2028-11-07T00:00:00Z,0.001,5,,True,,2025-07-03T20:37:22.130557Z,2026-01-23T13:19:01.044184Z,,,,
559688,Will Andrew Yang win the 2028 Democratic presidential nomination?,will-andrew-yang-win-the-2028-democratic-presidential-nomination,,,"[""102504892414163237174864879683522880588750452841477290216845150938663289742135"", ""21234886083000978203440582985665409733123024063268807484684316771005736994028""]","[""Yes"", ""No""]","[""0.006"", ""0.994""]",0x450810ae738a0ff820d3248f2b24937f63fb8c8cf422ed2a915125adb4d9d3c8,True,False,28307192.370127,182624.634199,274858.14168,274858.14168,2028-11-07T00:00:00Z,0.001,5,,True,,2025-07-03T20:37:24.380612Z,2026-01-23T13:18:46.404922Z,,,,
553874,Will the Memphis Grizzlies win the 2026 NBA Finals?,will-the-memphis-grizzlies-win-the-2026-nba-finals,,,"[""14471701768196830630634668680091812585489580903183764961933738527738578243643"", ""24880818617132598688829402716541764724600685149042631991938921403533284241164""]","[""Yes"", ""No""]","[""0.0045"", ""0.9955""]",0xc094fd60c0a09ba0df48a086ef91e12390fa8777fcd9cb63c154e9622cb1d497,True,False,27670393.421027,100629.84199999999,638583.52574,638583.52574,2026-07-01T00:00:00Z,0.001,5,,True,,2025-06-19T18:23:36.929001Z,2026-01-23T13:19:00.306421Z,,,,
